"","artist","song","text"
"1","Flo-Rida","Jump","[Chorus: Nelly Furtado]  
When I say jump, you say how high  
I ain't never seen nobody, how they get so high  
Like a bird, like a plane, this party got me insane  
This party got me insane, so jump jump jump jump  
  
[Flo Rida]  
Now I'm gon take it to the roof  
Everybody with me got they own parachute  
You ain't scared of heights when you sipping on Goose  
Party all night like I'm flying jet new?  
You ain't never seen nobody get this loose  
Shawty acting naughty with her body, what it do  
Jump to this man, bump to this man  
Stomp to this man, crunk to this man  
Got another hit man  
Hold up, I wanna go up, don't wanna throw up  
My clique pour up, and every bad chick know us  
Dance, the boy got us all feeling high  
Ask, the shawty, I'm a astronaut  
High rollin baby like I'm jumping on fire  
Super Bowl pimp good Year on tire  
Can I be a bird, I gotta be fly  
Butterfly and spur, and I got a couple words  
  
[Chorus: x2]  
  
[Flo Rida]  
When I run up in the club, jump in, then I gotta be there  
Check it out, shawty like Nike Air  
Up up and away take it off like mere?  
NBA balling, I don't care  
Now what do you do when you see you a shawty and she make it bounce in the
room?  
Hey girl, come on baby, you a fine sexy lady, can I get on your hot air
balloon?  
Sky high, still clubbing like I'm part of the mile high  
Ears popping, Bubbalicious help me get right  
Keep popping in position after midnight  
Moese? fried chicken up in NY  
Jigga what, don't it feel good  
Houston? We gonna jump ship, all aboard  
Come around me, and we'll parlay, we're throwed?  
Cali is jumping, hit the switch on the 6 4  
  
[Chorus]  
  
[Flo Rida]  
Come on and jump, jump, jump [Repeat: x3]  
(All my ladies) get down, get down, get down  
(All my ladies) get down, get down, get down  
(All the fellas) jump, jump, jump, jump, jump, jump  
(All the fellas, the ladies, the fellas, the ladies, let me see you)  
  
[Chorus: x2]  
  
Get down, get down, get down  
Get down, get down, get down

"
"2","Frankie Laine","Rawhide","Keep movin', movin', movin',  
Though they're disapprovin',  
Keep them dogies movin', rawhide.  
Don't try to understand 'em,  
Just rope 'em, throw, and brand 'em.  
Soon we'll be livin' high and wide.  
My heart's calculatin',  
My true love will be waitin',  
Be waitin' at the end of my ride.  
  
Move 'em on, head 'em up,  
Head 'em up, move 'em on,  
Move 'em on, head 'em up, rawhide!  
Head 'em out, ride 'em in,  
Ride 'em in, let 'em out,  
Cut 'em out, ride 'em in, rawhide!  
  
The ending lyrics are:  
  
Keep rollin', rollin', rollin',  
Though the streams are swollen,  
Keep them dogies rollin', rawhide.  
Through rain and wind and weather,  
Hell bent for leather,  
Wishin' my gal was by my side.  
All the things I'm missin',  
Good vittles, love and kissin',  
Are waiting at the end of my ride.  
  
Move 'em on, head 'em up,  
Head 'em up, move 'em on,  
Move 'em on, head 'em up, rawhide!  
Head 'em out, ride 'em in,  
Ride 'em in, let 'em out,  
Cut 'em out, ride 'em in, rawhide!  
Rawhide!

"
"3","Marilyn Manson","Irresponsible Hate Anthem","I am so all american I'd sell you suicide  
I am totalitarian I've got abortions in my eyes  
I hate the hater I'd rape the raper  
I am not the animal who will not be himself  
Fuck it  
Hey victim should I black your eyes again?  
Hey victim  
You were the one who put the stick in my hand  
I am the ism my hate's a prism  
Let's jut kill everyone and let your god sort them out  
Fuck it  
Everybody's someone else's nigger  
I know you are so am I  
I wasn't born with enough middle fingers  
I don't need to choose a side  
I better, better, better, better not say this  
Better, better, better, better not tell  
I hate the hater, I'd rape the raper  
I am the idiot who will not be himself  
Fuck it

"
"4","Louis Armstrong","Between The Devil And The Deep Blue Sea","I don't want you  
But I hate to lose you  
You've got me in between  
The devil and the deep blue sea  
  
I forgive you  
'Cause I can't forget you  
You've got me in between  
The devil and the deep blue sea  
  
I ought to cross you off my list  
But when you come knockin' at my door  
Fate seems to give my heart a twist  
And I come running back for more  
  
I should hate you  
But, mama, I guess instead I love you  
You've got me in between  
The devil and the deep blue sea

"
"5","Gary Numan","Innocence Bleeding","Do you believe in Heaven?  
That man's soul is eternal?  
Our prayers are always answered?  
And miracles can happen?  
  
Save me.  
  
But don't you wonder?  
The Holy Ghost and Jesus?  
In paradise and angels?  
That God is all forgiving?  
  
Save me.  
  
Reward the faithful?  
He lies to you and deceives.  
A dark salvation comes.  
Innocence bleeding.  
  
Too dark to see the pictures of Heaven  
Too dark to find the Garden of Eden.  
Blinded by faith and stories of wonder,  
Devine mercy? Mercy lies bleeding.  
  
Save me.

"
"6","Christmas Songs","Jolly Old St. Nicholas","Jolly old St. Nicholas  
Lean your ear this way  
Don't you tell a single soul  
What I'm going to say  
  
Christmas Eve is coming soon  
Now, you dear old man  
Whisper what you'll bring to me  
Tell me if you can  
  
When the clock is striking twelve  
When I'm fast asleep  
Down the chimney broad and black  
With your pack you'll creep  
  
All the stockings you will find  
Hanging in a row  
Mine will be the shortest one  
You'll be sure to know  
  
Johnny wants a pair of skates  
Suzie wants a sled  
Nellie wants a picture book  
Yellow, Blue, and Red  
  
As for me, my little brain  
Isn't very bright  
Choose for me, old Santa Claus  
What you think is right

"
"7","Kris Kristofferson","It's All Over, All Over Again","I know you know I'm sorry  
And you know that I feel the same  
We've grown too lonesome together (Oh, yes we have)  
And all that we share is the blame.  
  
Let's take a chance while there's something to say  
Oh darling, don't throw it away  
We know that we've both got so much to lose  
And the rest of our lifetime to pay  
  
We could be good to each other (Yes, we could)  
Better than we've ever been  
Oh, darlin' we're starting all over  
It's all over, all over again  
  
I know, we could be good to each other (Yes, we could)  
Better than we've ever been  
Oh, darlin', we're starting all over  
It's all over, all over again.  
It's all over, all over again.

"
"8","Kelly Clarkson","My Grown Up Christmas List","Do you remember me  
I sat upon your knee  
I wrote to you with childhood fantasies  
Well I'm all grown up now  
And still need help somehow  
I'm not a child but my heart still can dream  
  
So here's my lifelong wish  
My grown up Christmas list  
Not for myself but for a world in need  
No more lives torn apart  
That wars would never start  
And time would heal all hearts  
And everyone would have a friend  
And right would always win  
And love would never end, no  
This is my grown up Christmas list  
  
As children we believe  
The grandest sight to see  
Was something lovely wrapped beneath the tree  
But Heaven only knows  
That packages and bows  
Can never heal a heartached human soul  
  
No more lives torn apart  
That wars would never start  
And time would heal all hearts  
And everyone would have a friend  
And right would always win  
And love would never end, no  
This is my grown up Christmas list  
  
What is this illusion called the innocence of youth  
Maybe only in our blind belief can we ever find the truth  
  
No more lives torn apart  
That wars would never start  
And time would heal all hearts  
And everyone would have a friend  
And right would always win  
And love would never end, no  
This is my grown up Christmas list  
This is my only lifelong wish  
This is my grown up Christmas list

"
"9","Pogues","Mother Mo Chroi","It was 1962 and I was  
Two years out of school  
When I got on board a boat  
That was bound for Liverpool  
The day we sailed away  
I remember it so well  
Took one look at the North Wall  
And bid a fond farewell  
  
It's a hard thing to leave the land  
Of your childhood  
Touched by the rivers  
And kissed by the sea  
The places you played  
With your childhood companions  
To leave dear old Ireland and  
Mother Mo Chroi  
  
Though I'm going far away  
And I may never return here  
There is always one thing  
That I'll keep within me  
Deep in my heart a furious devotion  
The love of old Ireland  
And Mother Mo Chroi  
  
At the top of Pentonville Road  
I saw the sun setting  
The town laid out before me  
Looked beautiful to me  
Away from all the sighing  
The suffering and dying  
I dreamed of the future  
The young and the free  
  
But the years they go by quickly  
Now I know I can't remain here  
Where each day brings me closer  
To that final misery  
My kids will never scrape shit round here  
And I won't die crying in a pint of beer  
I'm going back to Ireland  
And my Mother Mo Chroi

"
"10","Faith Hill","Love Will Always Win","Hold Me  
Like There's No Tomorrow  
There Can Be No Sorrow  
Right Here Where We Stand  
  
Living  
Only For A Moment  
All I Ever Wanted  
Is Right Here In My Hands  
  
Some Will Say  
That We're Sure To Fall  
Try To Build Their Walls  
Between Us Yeah  
  
No Way Over It  
No Way Around It Boy  
If We Want It  
We Have To Go Through It  
Fight For Love  
And The World Tries To Break Us Down  
But The World Will Bend  
And The Fight Will End  
Love Will Always Win  
  
Hold On  
'til We See Tomorrow  
There Is Time To Borrow  
'til We Own Our Own  
  
Walk On  
And Our Hearts Will Lead Us  
But Our Hearts Will Need Us  
To Be Steady And Strong  
  
So We Can Stand  
And Face The Fire  
Burning Higher  
Surrounding Us Yeah  
  
No Way Over It  
No Way Around It Boy  
If We Want It  
We Have To Go Through It  
Fight For Love  
And The World Tries To Break Us Down  
Oh But The World Will Bend  
And The Fight Will End  
Love Will Always Win  
  
No Way Over It  
No Way Around It Boy  
If We Want It  
We Have To Go Through It  
Fight For Love  
And The World  
Tries To Break Us Down  
But The World Will Bend  
Ooh  
And The Fight Will End  
The World Will Bend  
And The Fight Will End  
Love Will Always Win

"
